ExampleA	ExampleA
Reference pedigree	Family tree
230.085	120072
151.881	100941
51.7948	65513
35.5814	64972
27.3505	47151.3
23.4766	46656.6
21.5051	31822.5
21.2699	30419.1
20.3105	27868.2
17.3933	21397.3
17.2876	20550.8
16.5091	20200.1
15.4825	19232.9
15.4482	17496.7
15.0442	14032.7
13.6019	13422.4
13.1547	11943.1
11.4379	11895.9
10.344	11800.1
7.91099	11372.2
7.82992	9871.01
7.65856	8300.2
7.10193	7963.67
6.82559	7873.16
6.50593	7752.53
5.75921	6321.94
5.24485	6282.88
5.03601	5786.73
4.9107	5761.02
4.72278	5683.74
4.67808	5009.44
4.59456	4960.94
4.3529	4771.56
3.98612	4381.34
3.94804	4210.63
3.72448	4186.27
3.66801	4041.83
3.61892	3875.35
3.41522	3863.76
3.31861	3704.19
3.26047	3626.42
3.24596	3342.95
3.0505	3317.91
2.86868	3259.5
2.85909	3170.45
2.85682	2933.45
2.79298	2715.36
2.787	2699.36
2.76354	2656.8
2.68111	2499.32
2.65155	2499.04
2.50935	2467.63
2.50591	2436.58
2.45029	2433.74
2.43096	2307.46
2.38482	2228.43
2.25276	2227.78
2.17946	2034.38
2.14083	2000.55
2.067	1943.81
2.04515	1864.59
2.02239	1846.74
1.98285	1815.74
1.86747	1790.75
1.84609	1763.56
1.77158	1739.9
1.73438	1718
1.71445	1636.68
1.68806	1558.48
1.67118	1557.85
1.66344	1557.77
1.50457	1556.66
1.50329	1555.79
1.4894	1518.37
1.48527	1487.64
1.46904	1383.13
1.40949	1360.26
1.39825	1360.06
1.36299	1325.62
1.36036	1322.55
1.34224	1263.14
1.29848	1230.93
1.27581	1224.93
1.25609	1221.42
1.22764	1206.87
1.22736	1088.83
1.12586	1078.56
1.09592	1063.25
1.09413	1033.2
1.08901	1024.7
1.06286	1017.13
1.06051	994.784
1.03223	984.434
0.944047	939.437
0.932361	908.335
0.923762	908.061
0.895069	906.796
0.870571	904.072
0.839498	895.703
0.826129	875.161
0.824486	868.069
0.815736	864.76
0.814799	843.961
0.814649	825.891
0.802907	810.175
0.788359	771.374
0.783239	760.167
0.781568	721.498
0.772054	711.216
0.764458	707.983
0.753519	707.917
0.752208	702.879
0.746888	697.003
0.743328	696.882
0.739552	672.12
0.707344	648.66
0.705792	630.876
0.703393	624.711
0.703305	621.571
0.689986	610.433
0.688296	604.161
0.682312	603.587
0.680112	601.105
0.67977	585.65
0.668602	573.373
0.667621	551.399
0.654962	546.153
0.632464	545.008
0.614562	541.669
0.607039	539.919
0.590879	539.85
0.581185	534.44
0.563108	532.312
0.561485	523.801
0.552799	515.109
0.551541	514.257
0.548225	513.691
0.54743	508.852
0.541722	503.913
0.540001	503.191
0.538607	495.572
0.535226	495.339
0.532241	494.542
0.52266	490.505
0.519272	489.967
0.515183	488.38
0.515112	486.138
0.50725	484.483
0.506037	478.418
0.50503	474.924
0.50444	463.103
0.499714	442.22
0.499556	440.89
0.497245	438.768
0.489198	438.327
0.482247	435.714
0.477386	433.509
0.477126	430.29
0.474801	423.119
0.47384	421.093
0.47142	416.441
0.467898	410.278
0.464123	402.758
0.463166	387.226
0.462356	384.652
0.45907	379.935
0.447086	366.053
0.443175	356.441
0.442996	355.905
0.43951	350.957
0.435837	349.289
0.43473	344.94
0.432331	337.969
0.423944	334.156
0.421053	328.508
0.41878	327.379
0.416648	326.535
0.410798	326.284
0.409482	323.066
0.396217	322.763
0.391677	322.649
0.389931	319.4
0.384119	319.288
0.383079	307.759
0.381402	307.191
0.37874	304.965
0.373277	297.133
0.372106	296.889
0.369709	296.696
0.366101	296.64
0.364642	295.431
0.363276	293.015
0.362169	287.57
0.361183	286.972
0.357632	283.097
0.354801	281.761
0.353925	278.868
0.352512	277.986
0.352114	276.462
0.350339	274.358
0.34264	272.537
0.341255	271.779
0.336455	263.614
0.331451	261.987
0.330517	261.127
0.326594	260.001
0.324309	257.108
0.321417	255.923
0.314271	255.083
0.314046	253.822
0.312658	252.963
0.312175	252.219
0.306685	251.892
0.303816	250.338
0.300218	244.257
0.296779	242.997
0.2933	242.885
0.290386	242.508
0.283439	240.9
0.281565	240.085
0.278104	228.465
0.277709	225.529
0.271413	225.135
0.269177	224.226
0.268322	222.668
0.262729	220.397
0.261485	219.817
0.259909	218.445
0.258958	218.105
0.258397	216.403
0.255998	214.065
0.253323	211.077
0.246274	206.064
0.243354	205.95
0.24315	205.382
0.237151	204.245
0.236951	202.328
0.23663	202.161
0.236378	201.122
0.233871	198.886
0.231842	197.461
0.230524	197.439
0.229221	196.192
0.229073	194.264
0.227763	192.652
0.227234	187.754
0.223712	186.023
0.223028	184.67
0.222528	184.335
0.221473	183.432
0.218428	181.907
0.21801	181.337
0.217287	181.078
0.216058	176.58
0.207028	175.83
0.206318	173.225
0.20451	169.113
0.203718	166.566
0.202613	166.527
0.202426	166.481
0.200828	165.637
0.200653	164.918
0.200533	164.36
0.199719	163.656
0.198572	163.512
0.198533	163.429
0.198495	162.563
0.197836	162.276
0.197559	158.89
0.195978	158.277
0.195097	157.049
0.188119	153.514
0.186671	153.111
0.186349	153.064
0.185458	151.192
0.184439	150.641
0.183799	147.317
0.183778	147.303
0.18332	144.491
0.180959	144.175
0.179549	143.28
0.17881	142.107
0.178392	141.76
0.178296	138.924
0.177096	138.275
0.175355	137.583
0.175053	136.309
0.17459	135.319
0.173716	134.66
0.172882	134.653
0.172267	131.846
0.171784	131.647
0.170931	131.581
0.170473	129.848
0.170439	126.118
0.166859	122.961
0.166335	122.949
0.166234	120.758
0.16622	120.155
0.165534	119.713
0.164883	117.662
0.162262	116.166
0.157553	114.672
0.157108	114.115
0.156814	113.68
0.154934	110.554
0.154787	107.761
0.153055	107.593
0.152807	105.101
0.15275	104.549
0.151042	104.072
0.150399	102.528
0.150174	102.14
0.149822	101.053
0.14932	99.8841
0.147187	98.6256
0.145792	98.5564
0.143362	97.3856
0.137964	96.7736
0.137736	96.4413
0.136207	96.282
0.134382	93.7684
0.132899	93.5976
0.1326	92.8351
0.132469	90.8159
0.132372	90.7311
0.132028	90.3105
