ExampleB	ExampleB
Reference Pedigree	Family tree
443.815	166223
240.066	139043
221.151	62533.9
186.305	45281.2
155.635	42303.5
150.007	39692.7
138.475	38899.4
111.031	38385.3
98.7056	34504.9
88.6407	30431.5
84.5978	29944.8
83.1005	29749.5
69.7713	29511.5
69.6069	23683.8
69.4552	21827.2
68.3418	21621.8
63.6993	21391.3
59.5191	20062.8
59.1249	19970.2
57.5966	19805.2
50.0824	19485.1
47.4622	18160.8
43.8423	16308
41.2978	15320
37.7513	15312.1
33.7622	14568.3
33.3564	14424.4
33.1972	13710.2
32.6549	13422.7
32.0804	13334.9
31.4376	13179.8
31.3506	12060.7
30.7068	11951.8
30.1367	11422.7
29.6979	10437
28.9691	10306.8
27.8169	9952.89
27.2928	9383.08
26.9043	9302.65
26.1731	9190.22
25.8381	9079.76
25.7286	8935.67
24.5877	8761.91
24.5717	8418.16
24.1615	8417.98
23.1197	7916.58
22.9634	7906.37
22.9305	7621.98
22.7862	7555.63
22.1521	7513.67
21.9249	7434.85
21.3138	7414.46
20.7582	7279.36
20.6925	7221.2
20.6794	7199.08
20.2947	6900.28
20.0986	6860.66
19.9517	6767.55
19.9336	6582.92
19.8767	6576.21
19.6714	6471.33
19.5087	6406.14
19.4579	6322.7
18.391	6258.1
18.3174	6237.28
18.005	6213.79
17.5848	6127.17
17.5354	5936.15
17.407	5594.45
16.8874	5491.93
16.648	5474.08
16.3716	5359.32
16.1445	5348.84
16.0464	5249.25
16.0014	5238.67
15.7016	5124.51
15.5242	4986.19
15.2185	4908.54
15.0998	4883.18
14.8948	4833.29
14.8329	4776.38
14.7771	4766.05
14.0155	4732.24
14.0149	4677.06
13.8549	4623.66
13.6539	4611.29
13.5893	4576.79
13.5803	4520.72
13.4134	4458.97
13.0969	4262.2
13.0849	4226.56
12.7641	4185.6
12.697	4180.9
12.647	4164.98
12.5022	4105.1
12.4647	3935.18
12.3484	3919.49
12.301	3830.83
11.8501	3763.78
11.7259	3732.74
11.6669	3655.45
11.6624	3604
11.5656	3602.93
11.4496	3581.41
11.383	3527.07
11.3377	3469.6
11.2907	3465.55
11.1043	3418.95
10.929	3411.97
10.846	3408.05
10.6761	3405.68
10.6427	3393.87
10.3221	3388.96
10.2897	3374
10.19	3345.25
9.98854	3269.22
9.95381	3258.9
9.92791	3203.04
9.92596	3157.67
9.86313	3134.94
9.78361	3128.09
9.76859	3121.07
9.73364	3103.58
9.5957	3096.58
9.59338	3090.57
9.39406	3059.35
9.27901	3039.11
9.2275	3035.16
9.22693	3006.55
9.22612	2972.49
9.14452	2965.45
9.12902	2950.73
9.08025	2929.2
9.00915	2749.8
8.92069	2722.86
8.89944	2709.19
8.83963	2638.01
8.78782	2615
8.72436	2608.86
8.69954	2606.16
8.60335	2591.61
8.56939	2579.78
8.52202	2543.49
8.4607	2522.95
8.44552	2521.7
8.42362	2518.64
8.40109	2517.26
8.39195	2503.68
8.37786	2494.05
8.35526	2489.84
8.34698	2479.77
