ExampleD	ExampleD
Reference Pedigree	Family tree
3892.38	95933200000
2153.59	47976100000
950713	36373200000
359876	20466900000
303488	17303300000
203448	12231700000
129972	11537700000
85.0244	9294270000
79.8499	8683760000
70.5483	8601580000
45.0468	6455660000
38.4741	5505140000
33.7315	4386040000
29.8178	4341750000
28.4658	4289600000
27.3596	4220300000
24.3423	3975420000
18.6558	3882460000
16.9847	3364360000
16.5971	3136830000
15.3731	2907730000
15.2825	2572490000
12.5604	2526510000
11.1824	2477320000
9.98745	2466950000
9.18771	2298410000
9.05795	2210820000
8.42294	2155340000
8.35063	1786880000
7.74386	1700570000
7.07667	1674190000
6.8067	1671320000
6.67441	1666100000
5.8287	1651510000
5.7975	1566650000
5.68706	1532270000
5.67533	1529030000
5.56765	1517290000
5.56596	1482360000
5.53339	1452380000
5.50423	1399510000
5.50079	1387260000
4.98674	1310150000
4.92386	1260960000
4.74933	1210540000
4.68633	1205900000
4.54184	1181020000
4.53934	1165010000
4.53845	1138550000
4.34375	1136110000
4.10307	1121880000
4.04109	1120160000
3.94792	1094450000
3.72465	1062280000
3.71743	1062040000
3.45261	1061080000
3.44418	1040120000
3.43998	1026670000
3.36931	995740000
3.36544	995128000
3.3144	911197000
3.16272	879615000
3.05295	861318000
2.87991	828329000
2.77062	817823000
2.73956	750058000
2.71205	699681000
2.63622	685453000
2.56262	667293000
2.35543	655511000
2.31893	653216000
2.29198	650829000
2.23008	619986000
2.22073	604623000
2.21992	594257000
2.17879	583776000
2.15622	583275000
2.08542	582634000
2.06606	577903000
2.03975	566805000
2.01249	542925000
1.97771	535502000
1.97161	532759000
1.93847	530120000
1.89962	526766000
1.87355	526674000
1.8083	525796000
1.78125	523344000
1.75191	521999000
1.71261	521520000
1.68242	511155000
1.64762	501345000
1.63562	495875000
1.63259	491207000
1601	482057000
1.59052	478360000
1.54517	476852000
1.53853	469518000
1.53497	467894000
1.52377	464354000
1.51737	464323000
1.48266	461342000
1.39437	445217000
1.38965	430160000
1.33942	428365000
1.31911	425175000
1.30646	419015000
1.30228	417795000
1.27835	412335000
1.26766	410514000
1.25162	409277000
1.25021	406431000
1.24609	400715000
1.22382	399110000
1.21321	396295000
1.18932	386307000
1.1597	379756000
1.13091	378915000
1.12829	371004000
1.08553	366264000
1.08179	363258000
1.07981	354166000
1.07677	353860000
1.06472	353637000
1.04497	353211000
1.04436	345972000
1.03913	338301000
1.0166	325210000
1.00539	318049000
1.00233	311518000
0.999999	308901000
0.996419	307136000
0.957878	306401000
0.956573	305788000
0.898081	305039000
0.888158	304284000
0.866763	302491000
0.85895	300506000
0.855974	300360000
0.850056	295807000
0.820411	285516000
0.818548	284804000
0.81538	283617000
0.807963	280197000
0.782552	279647000
0.760013	278801000
0.750137	278154000
0.747404	272065000
0.740814	271683000
0.731238	258562000
0.730441	254534000
0.723162	251818000
0.710388	248219000
0.683148	247602000
0.681678	245288000
0.677832	245122000
0.658072	238862000
0.652733	238066000
0.652185	237506000
0.651068	231942000
0.650609	230232000
0.620032	229623000
0.60853	228396000
0.603263	227696000
0.603006	227256000
0.568724	226463000
0.558407	225361000
0.552166	225205000
0.544459	220352000
0.541468	220039000
0.540249	216166000
0.535171	213631000
0.526881	212334000
0.523577	211420000
0.511808	207695000
0.510637	205036000
0.505703	201678000
0.49796	198377000
0.485228	197971000
0.48094	197623000
0.464613	197585000
0.456694	197554000
0.454095	195571000
0.449591	195048000
0.44223	194589000
0.437407	192777000
0.437059	191349000
0.435597	188459000
0.429578	188062000
0.423629	187569000
0.419799	181827000
0.418964	179778000
0.414331	178525000
0.413939	178177000
0.407541	174200000
0.401952	171685000
0.397736	170804000
0.39538	169578000
0.394454	168498000
0.393402	166175000
0.39124	166058000
0.390318	160891000
0.388355	160309000
0.388226	156678000
0.382548	156246000
0.38024	155299000
0.373755	153198000
0.359974	153136000
0.356147	152449000
0.345031	152184000
0.344361	151048000
0.343939	147746000
0.343359	147275000
0.338969	146049000
0.33507	145981000
0.324142	144633000
0.321706	144515000
0.321356	142161000
0.319946	136324000
0.315523	133812000
0.310548	133188000
0.301533	130463000
0.297191	130192000
0.281922	129648000
0.278941	129565000
0.276849	126466000
0.276813	125308000
0.276085	121716000
0.275769	120121000
0.274767	119686000
0.268674	118705000
0.26827	118012000
0.268219	117359000
0.267713	116914000
0.265487	114850000
0.264863	114599000
0.263259	114499000
0.261715	113413000
0.259098	113268000
0.251282	111990000
0.249787	111883000
0.248536	111642000
0.242666	109618000
0.240895	108388000
0.235329	107241000
0.234704	107105000
0.230565	106308000
0.226013	105662000
0.223041	105248000
0.219518	104953000
0.215712	104919000
0.214638	102525000
0.213825	101493000
0.209715	101335000
0.208801	101132000
0.205996	101079000
0.20432	100354000
0.199176	100343000
0.195107	100024000
0.194863	99952100
0.194253	98952300
0.193617	98409300
0.192885	97964400
0.189855	97784200
0.189822	97531700
0.18515	95103300
0.183966	94480600
0.18029	94412700
0.17978	94222700
0.178138	94044700
0.177296	93459500
0.17704	92971600
0.176812	92438700
0.175075	89582100
0.174598	89085100
0.171906	89005800
0.17165	88329000
0.16802	87960000
0.16669	87249300
0.165154	87112000
0.164785	86880500
0.161929	86470100
0.160398	85645300
0.160302	85511300
0.159849	84264700
0.155572	83229500
0.152384	82683700
0.151078	82376300
0.150578	82249000
0.149421	82001800
0.148304	81375900
0.147789	80610200
0.147785	79364800
0.14558	78614300
0.144968	78546500
0.143363	77463500
0.143271	77294800
0.14108	76458600
0.140977	76190600
0.13981	76111100
0.139311	75988100
0.138804	75253600
0.138218	74475000
0.137531	74146100
0.132561	72867000
0.132342	72696400
0.131873	72487700
0.131542	72045600
0.128874	71481100
0.128748	71279000
0.127584	70429000
0.127424	70316200
0.125872	70238600
0.124603	70232300
0.124566	70035900
0.124416	69538400
0.12407	69486500
0.12404	69318000
0.12323	68909800
0.122321	68764800
0.120624	67949700
0.120141	67832500
0.119633	67544100
0.118564	67085600
0.116832	66526600
0.115455	66175100
0.115126	65949300
0.114768	65633200
0.114668	65245600
0.11362	65116400
0.113536	65102900
0.112213	64343000
0.112004	64201300
0.111529	63548200
0.110905	63220200
0.110535	62478400
0.109756	62373400
0.108883	61998300
0.108624	60878400
