Ejemplo_TP	Ejemplo_RP
10223.7	408.824
8484.27	75.8171
7978.57	69.1366
7558.66	67.9411
6693.25	64.1559
6438.55	63.8029
5005.1	62.8656
4906.38	60.867
4658.05	58.2134
4526.51	57.3988
4156.93	50.2544
4066.53	49.3513
3746.35	49.058
3725.86	47.1141
3625.12	46.7849
3390.59	44.9783
3316.35	41.7102
3264.59	39.506
3149.94	35.741
2972.48	34.939
2954.91	30.1631
2935.69	30.0602
2932.21	28.3253
2891.78	27.8874
2873.76	26.9347
2742.74	26.5432
2665.79	26.503
2626.58	24.3742
2608.85	23.9931
2507.14	23.9634
2495.35	23.9563
2369.25	22.9095
2364.2	22.6873
2308.3	22.6187
2279.19	21.9242
2259.35	21.7865
2236.01	21.5698
2125.21	21.1338
2065.1	21.0507
2044.63	20.8112
2007.19	20.6981
1991.72	20.585
1980.67	20.3813
1978.16	20.1518
1920.21	20.117
1896.77	19.6323
1816.54	18.9843
1785.24	18.9506
1756.85	18.7374
1722	18.6354
1687.59	16.7824
1675.01	16.7096
1665.64	16.6232
1664.38	16.6223
1653.39	16.6159
1619.87	16.5546
1602.74	16.3303
1586.83	16.2523
1577.08	16.1349
1563.97	16.1202
1551.63	16.069
1547.38	16.0376
1502.89	15.9645
1466.4	15.8641
1462.36	15.8222
1424.06	15.778
1420.86	14.8446
1398.53	14.7926
1394.53	14.7832
1394.06	14.6645
1360.34	14.5334
1356.94	14.3772
1315.5	14.2658
1280.47	14.1717
1253.94	14.1511
1232.01	13.6902
1224.45	13.5572
1220.21	13.5161
1191.83	13.3857
1181.55	13.0488
1166.23	13.0307
1162.11	12.9003
1124.14	12.7879
1109.69	12.7721
1107.1	12.7417
1088.22	12.7007
1073.33	12.6268
1072.9	12.6033
1072.33	12.2734
1060.09	12.2689
1052.03	12.1797
1036.13	12.0801
1028.82	12.0579
1021.51	11.9401
1021.07	11.855
1018.9	11.7715
1017.38	11.7588
1016.57	11.5877
1006.11	11.5844
979.137	11.5228
908.966	11.4838
881.002	11.4038
870.14	11.3843
868.154	11.3435
861.461	11.0888
860.772	10.994
839.59	10.8927
830.207	10.8861
825.794	10.8413
812.685	10.826
811.369	10.6414
805	10.5207
803.415	10.498
798.082	10.4762
793.667	10.4718
793.625	10.4373
792.518	10.4359
791.277	10.3667
790.974	10.3252
789.483	10.1557
780.488	10.0818
775.985	10.0329
774.229	10.0265
764.67	9.94304
760.592	9.94173
756.006	9.92962
753.892	9.92578
748.081	9.89136
742.037	9.85772
729.367	9.76915
728.337	9.7473
723.541	9.71534
720.525	9.71526
715.849	9.64814
715.777	9.64352
714.348	9.6284
710.15	9.62675
674.392	9.59527
660.061	9.56882
658.238	9.5555
657.323	9.54042
653.016	9.53857
646.493	9.47792
646.12	9.47012
634.192	9.29257
626.525	9.2016
624.965	9.09287
623.755	9.08693
613.923	9.01501
605.111	8.98188
599.063	8.97943
598.11	8.96794
594.722	8.93608
594.385	8.92732
594.236	8.92726
592.403	8.88923
590.172	8.87121
587.091	8.8163
585.268	8.79126
582.915	8.75888
582.178	8.67751
574.88	8.65251
573.904	8.6457
571.068	8.54799
570.71	8.50648
560.985	8.35937
556.281	8.34522
555.83	8.19741
552.636	8.19157
547.983	8.19079
543.515	8.17559
539.633	8.12521
539.228	8.12114
538.579	8.07744
535.301	8.06775
526.973	8.0509
521.792	8.00589
521.311	7.98572
519.449	7.97311
516.746	7.9304
516.546	7.85895
507.068	7.80107
505.026	7.78614
502.652	7.77452
500.331	7.7702
491.854	7.75556
490.839	7.71763
490.731	7.70742
489.457	7.67425
485.816	7.63318
485.546	7.62265
485.229	7.58154
485.017	7.55652
480.181	7.54694
479.657	7.4763
478.266	7.47499
477.206	7.47099
470.162	7.46626
468.975	7.40631
464.904	7.38405
463.315	7.29233
462.099	7.26666
460.786	7.25759
460.606	7.24426
456.46	7.24368
453.768	7.20329
448.765	7.12913
446.678	7.10409
445.757	7.10113
445.088	7.09837
443.456	7.09142
443.329	7.05248
441.238	6.99618
438.365	6.97428
437.996	6.93488
434.677	6.92292
434.581	6.90689
430.959	6.90649
430.705	6.90274
429.839	6.86431
424.944	6.85436
424.906	6.84604
424.324	6.82416
424.003	6.75141
423.274	6.7143
422.215	6.695
421.245	6.65694
420.315	6.6416
419.976	6.62522
416.902	6.62516
416.24	6.57394
413.025	6.53617
410.21	6.51541
408.62	6.49869
408.114	6.46047
408.091	6.4578
405.61	6.41789
